film_id,title,year,person_id,person_name,role,characters
APC,Bhaktha Prahladha,1932,h-m-reddy,H.M. Reddy,director,
BAU,Sri Rama Paduka Pattabhishekham,1932,sarvottam-badhami,Sarvottam Badhami,director,
BDW,Chinthamani,1933,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
BGM,Prithviputhra,1933,potina-srinivasa-rao,Potina Srinivasa Rao,director,
BHMS,Ramadasu,1933,ghantasala-radhakrishnaiah,Ghantasala Radhakrishnaiah,director,
BGT,Ramadasu,1933,aktar-nawaz,Aktar Nawaz,director,
BBY,Sakuntala,1933,sarvottam-badhami,Sarvottam Badhami,director,
BHL,Sathi Savithri,1933,h-m-reddy,H.M. Reddy,director,
BHJ,Sathi Savithri,1933,c-pullaiah,C. Pullaiah,director,
BHK,Savithri,1933,ramanandam,Ramanandam,director,
BIK,Ahalya,1934,kocharlakota-rangarao,Kocharlakota Rangarao,director,
BLH,Lava Kusa,1934,c-pullaiah,C. Pullaiah,director,
BNG,Seeta Kalyanam,1934,chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,
BSR,Bhaktha Kuchela,1935,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
BRI,Harishchandra,1935,t-a-raman,T.A. Raman,director,
BOW,Sathi Anasuya,1935,ahindra-chowdary,Ahindra Chowdary,director,
BVJ,Sathi Sakkubai,1935,charu-rai,Charu Rai,director,
BWA,Sri Krishna Leelalu,1935,chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,
BWB,Sri Krishna Thulabharam,1935,mukherjee,Mukherjee,director,
BWB,Sri Krishna Thulabharam,1935,rajarao,Rajarao,director,
BXO,Anasuya,1936,c-pullaiah,C. Pullaiah,director,
CAV,Bhaktha Kabiru,1936,s-rangaswamy,S. Rangaswamy,director,
BZE,Dhruva,1936,c-pullaiah,C. Pullaiah,director,
BZI,Draupadi Manasamrakshanam,1936,n-jagannatha-swamy,N. Jagannatha Swamy,director,
BZJ,Draupadi Vastrapaharanam,1936,h-v-babu,H.V. Babu,director,
CBO,Lankadahanam,1936,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
CDG,Pramilarjuneeyam,1936,amin,Amin,director,
CDN,Prema Vijayam,1936,krttiventi-nageswarao,Krttiventi Nageswarao,director,
CED,Sampurna Ramayanam,1936,n-b-narayana,N.B. Narayana,director,
CED,Sampurna Ramayanam,1936,i-nagabhushana-rao,I. Nagabhushana Rao,director,
CHZY,Sasirekha Parinayam,1936,chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,
CCF,Sasirekha Parinayam,1936,p-v-dasu,P.V. Dasu,director,
CFG,Sathi Sulochana,1936,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
CEK,Sathi Tulasi,1936,chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,
BXV,Balayogini,1937,k-subramanyam,K. Subramanyam,director,
BXV,Balayogini,1937,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
CHJ,Dashavatharamulu,1937,m-v-ramana-murthy,M.V. Ramana Murthy,director,
CIP,Kanakatara,1937,h-v-babu,H.V. Babu,director,
CJT,Mohini Rukmangada,1937,chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,
CKB,Naranaranarayana,1937,kocharlakota-rangarao,Kocharlakota Rangarao,director,
CKW,Rukmini Kalyanam,1937,vibhuti-das,Vibhuti Das,director,
CLB,Sarangadhara,1937,p-pullaiah,P. Pullaiah,director,
CFP,Veer Abhimanyu,1937,v-d-amin,V.D. Amin,director,
CMA,Vijayadasami,1937,d-g-gune,D.G. Gune,director,
CMC,Vipranarayana,1937,ahindra-chowdary,Ahindra Chowdary,director,
CPV,Bhaktha Markandeya,1938,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
CNS,Chitranaliyam,1938,duvvuru-ramireddy,Duvvuru Ramireddy,director,
COQ,Gruhalakshmi,1938,h-m-reddy,H.M. Reddy,director,
COR,Gulebakavali,1938,kallakuri-sadasivarao,Kallakuri Sadasivarao,director,
CPJ,Kasula Peru,1938,c-pullaiah,C. Pullaiah,director,
