person_id,person_name,role,film_count,known_for
a-bhimsingh,A. Bhimsingh,director,20,"BHCQ, BECX, JYP, NLT, MDG"
a-chandra,A. Chandra,director,1,AFOB
a-gokul-krishna,A. Gokul Krishna,director,1,BDLY
a-harsha,A. Harsha,director,1,BGDD
a-jagannathan,A. Jagannathan,director,9,"BETV, BFUL, BEZW, CKSY, AAGN"
a-jay-murugan,A. Jay Murugan,director,1,BIBR
a-karunakaran,A. Karunakaran,director,11,"AQCR, ARKY, ASMK, ATSA, AULY"
a-kasilingam,A. Kasilingam,director,3,"FYZ, BHMY, BJCK"
a-kodandarami-reddy,A. Kodandarami Reddy,director,79,"VEP, VUB, VXX, WOA, WYA"
a-mahadev,A. Mahadev,director,1,BWRQ
a-majeed,A. Majeed,director,2,"BHXR, BGIX"
a-mallikarjun,A. Mallikarjun,director,4,"BIDY, AVPC, AXQI, BDGG"
a-mani,A. Mani,director,1,BEBX
a-mohan-gandhi,A. Mohan Gandhi,director,34,"SBI, ZCM, AAKY, AAOI, AASA"
a-prabhakar-rao,A. Prabhakar Rao,director,1,BFYE
a-raghurami-reddy,A. Raghurami Reddy,director,3,"ABNP, AFII, AEUG"
a-raj-k-s-gopi,A. Raj. K.S. Gopi,director,2,"BFQO, BGQU"
a-rajasekhar,A. Rajasekhar,director,1,AWCI
a-saimadhav,A. Saimadhav,director,1,BJGE
a-salam,A. Salam,director,1,BGSK
a-sriram-reddy,A. Sriram Reddy,director,1,UMA
a-sushanth-reddy,A. Sushanth Reddy,director,1,BGSY
a-venkatesh,A. Venkatesh,director,11,"BDGL, BHOK, BDOA, BEDU, BJSQ"
a-venugopal,A. Venugopal,director,1,AJEA
a-vijay,A. Vijay,director,1,BFKH
a-vincent,A. Vincent,director,1,BELW
a-c-chandra-kumar,A.C. Chandra Kumar,director,1,BHFJ
a-c-trilogchandar,A.C. Trilogchandar,director,5,"MIL, BDHL, BGXM, BJWB, OPP"
a-c-trilogchander,A.C. Trilogchander,director,3,"BJAG, MEI, RJQ"
a-c-trilokachander,A.C. Trilokachander,director,1,KUZ
a-c-trilokchandar,A.C. Trilokchandar,director,6,"BFPG, BDYM, BDWL, BDQD, UBH"
a-k,A.K.,director,1,DAWH
a-k-kambhampati,A.K. Kambhampati,director,1,BDYV
a-k-khambampati,A.K. Khambampati,director,1,BPGZ
a-k-ravi-varma,A.K. Ravi Varma,director,1,BHTM
a-k-sajan,A.K. Sajan,director,3,"BFEN, BJCM, BKUU"
a-k-sekhar,A.K. Sekhar,director,1,MFK
a-k-velan,A.K. Velan,director,1,MBW
a-l-apparao,A.L. Apparao,director,1,MKY
