film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
BBEL,9 Nelalu,2000,2000s,,T. Kranthi Kumar,,,Telugu,India,/static/posters/BBEL.jpg,https://indiancine.ma/BBEL/info,
BDED,Aakari Rathri,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDED/info,
BJQP,Adavi,2000,2000s,,Ram Gopal Varma,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJQP/info,
AQZV,Adavi Chukka,2000,2000s,,Dasari Narayana Rao,,,Telugu,India,/static/posters/AQZV.jpg,https://indiancine.ma/AQZV/info,
BEMP,Adavi Dorasani,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEMP/info,
BDHW,Adbutham,2000,2000s,,Saran,,,Telugu,,/static/posters/BDHW.jpg,https://indiancine.ma/BDHW/info,
BEYQ,Adhrusya Hanthakudu,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEYQ/info,
BEPD,Allari Pilla Anumanapu Pellam,2000,2000s,,N.S. Ramesh Khanna,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BEPD/info,
AQZX,Ammo Okato Tarikhu,2000,2000s,,E.V.V. Satyanarayana,,,Telugu,India,/static/posters/AQZX.jpg,https://indiancine.ma/AQZX/info,
AQZZ,Annayya,2000,2000s,,Muthyala Subbaiah,,,Telugu,India,/static/posters/AQZZ.jpg,https://indiancine.ma/AQZZ/info,
ARAB,Antha Mana Manchike,2000,2000s,,K. Veeru,,,Telugu,India,/static/posters/ARAB.jpg,https://indiancine.ma/ARAB/info,
BHCG,Ardharathri Ada Pisachi,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHCG/info,
BJCX,Arjun I P S,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJCX/info,
BEMK,Arjunudu,2000,2000s,,Manoj Kumar,,,Telugu,,/static/posters/BEMK.jpg,https://indiancine.ma/BEMK/info,
BFDA,Ayodhya Ramayya,2000,2000s,,Chandra Mahesh,,,Telugu,India,/static/posters/BFDA.jpg,https://indiancine.ma/BFDA/info,
ARAI,Azaad,2000,2000s,Action,P. Tirupathi Swamy,,"Anjali is a Journalist, who lives a middle-class lifestyle along with her widower dad in Hyderabad, Andhra Pradesh. One day while traveling by State Transport bus along with her dad and her camera, their bus meets with an accident. She survives and witnesses a group of armed men killing a government official. She takes photographs and shortly thereafter approaches her Editor and asks him to publish them and expose the killers. She is prevented by Deva, the owner of the militant right-winged Hindu Seva Samiti, the photographs are destroyed and she is warned. She manages to flee on her motorbike, with her assailants hot on her tail. The assailant's car meets with an accident and they are all killed. She impulsively decides to create a fictional character, names him Azaad, and writes a note taking credit for their deaths. Thereafter a number of gangsters are killed and the police begin the hunt for Azaad. Shortly thereafter she meets a young man, Chandrashekhar, who is ironically on the run from the police, as they suspect him to be Azaad. With his help, she apprehends Deva, who poisons himself before being arrested. In love with Chandrashekhar, she goes with him to his village in Allahabad to attend the marriage of his sister, Gauri, little knowing that Deva is still alive, has assumed his real identity, that of Harkat Ul Ansari Dawood, and is hellbent on destroying Azaad, his family, and whosoever dares to stand in his way.",Telugu,India,/static/posters/ARAI.jpg,https://indiancine.ma/ARAI/info,
ARAJ,Baachi,2000,2000s,,Puri Jagannath,,,Telugu,India,/static/posters/ARAJ.jpg,https://indiancine.ma/ARAJ/info,
BGIT,Bachelors,2000,2000s,,Saana Yadhireddy,,,Telugu,India,/static/posters/BGIT.jpg,https://indiancine.ma/BGIT/info,
BJMF,Bad Boys,2000,2000s,,G. Surendra Reddy,,,Telugu,,/static/posters/BJMF.jpg,https://indiancine.ma/BJMF/info,
ARAO,Badri,2000,2000s,,Puri Jagannath,,,Telugu,India,/static/posters/ARAO.jpg,https://indiancine.ma/ARAO/info,
ARAP,Bagunnara,2000,2000s,,Bakhrudeen,,,Telugu,India,/static/posters/ARAP.jpg,https://indiancine.ma/ARAP/info,
BEBI,Balaram,2000,2000s,,Raviraja Pinisetty,,,Telugu,India,/static/posters/BEBI.jpg,https://indiancine.ma/BEBI/info,
BEZB,Bats,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEZB/info,
BFRD,Bhaktha Markandeya,2000,2000s,,P.N. Ramachandra Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BFRD/info,
BEKA,Bharath Talkies Lo Bomb,2000,2000s,,R. Parthipan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEKA/info,
BHNR,Bhavani,2000,2000s,,Gosangi Subbarao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BHNR/info,
BEWW,Bheeshma,2000,2000s,,H. Vasu,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEWW/info,
BEIB,Bose,2000,2000s,,Raj Kapoor,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEIB/info,
BGYJ,Brahmachari Kamasutra,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGYJ/info,
ARBI,Chala Bagundi,2000,2000s,,E.V.V. Satyanarayana,,,Telugu,India,/static/posters/ARBI.jpg,https://indiancine.ma/ARBI/info,
BIBJ,Chalo Assembly,2000,2000s,,R. Narayana Murthy,,"<a href=""/documents/QAT""><img src=""/documents/QAT/256p.jpg""></a>",Telugu,,/static/posters/BIBJ.jpg,https://indiancine.ma/BIBJ/info,
BIQI,Chamundi,2000,2000s,,A. Mohan Gandhi,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIQI/info,
BECN,Chirunama,2000,2000s,,Durai,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BECN/info,
ARBN,Chirunavvutho,2000,2000s,,Ramprasad Gottimukkala,,,Telugu,India,/static/posters/ARBN.jpg,https://indiancine.ma/ARBN/info,
BDPQ,Chitram,2000,2000s,,Teja,,,Telugu,,/static/posters/BDPQ.jpg,https://indiancine.ma/BDPQ/info,
BHZE,Choosoddaam Randi,2000,2000s,,Raja Vannem Reddy,,,Telugu,India,/static/posters/BHZE.jpg,https://indiancine.ma/BHZE/info,
